ID,Name,Description,CLTS_BIPA,CLTS_Name
ia_u0268u0250,ɨɐ,from unrounded close central to unrounded near-open central diphthong,,
ai_u0061u0303u026Au032Fu02D0,ãɪ̯ː,from nasalized unrounded open front to long non-syllabic unrounded near-close near-front diphthong,,
ai_u0061u0069,ai,from unrounded open front to unrounded close front diphthong,,
ie_u0069u025Bu0320,iɛ̠,from unrounded close front to retracted unrounded open-mid front diphthong,,
ou_u006Fu02D0u0075u032F,oːu̯,from long rounded close-mid back to non-syllabic rounded close back diphthong,,
wz_u02B7u0291,ʷʑ,pre-labialized voiced alveolo-palatal sibilant fricative consonant,,
wj_u02B7u025F,ʷɟ,pre-labialized voiced palatal stop consonant,,
ai_u0250u0069,ɐi,from unrounded near-open central to unrounded close front diphthong,,
zw_u0290u02B7,ʐʷ,labialized voiced retroflex sibilant fricative consonant,,
hwt_u02B0u02B7u0074,ʰʷt,pre-labialized voiceless alveolar stop consonant,,
l_u006Cu0329,l̩,syllabic voiced alveolar lateral approximant consonant,,
u_u0075u02D0u0259,uːə,from long rounded close back to unrounded mid central diphthong,,
uo_u0264u006F,ɤo,from unrounded close-mid back to rounded close-mid back diphthong,,
e_u0065u031Eu0303u02D0,ẽ̞ː,long nasalized unrounded mid front vowel,,
hw_u029Cu02B7,ʜʷ,labialized voiceless epiglottal fricative consonant,,
j_u029D,ʝ,voiced palatal fricative consonant,,
l_u026Cu033Au032A,ɬ̺̪,voiceless apical dental lateral fricative consonant,,
twj_u0074u032Au02B7u02B2,t̪ʷʲ,palatalized labialized voiceless dental stop consonant,,
e_u0065u0303u02D0,ẽː,long nasalized unrounded close-mid front vowel,,
e_u0258u0306,ɘ̆,ultra-short unrounded close-mid central vowel,,
nh_u006Eu032Au02B0,n̪ʰ,aspirated voiced dental nasal consonant,,
phj_u0070u02B0u02B2,pʰʲ,palatalized aspirated voiceless bilabial stop consonant,,
u_u0028u0075u02D0u0029,(uː),long rounded close back vowel,,
m_u006D,m,voiced bilabial nasal consonant,,
dz_u0064u0292u02D0,dʒː,long voiced post-alveolar sibilant affricate consonant,,
oi_u0254u02D0u0069,ɔːi,from long rounded open-mid back to unrounded close front diphthong,,
o_u006Fu0324u02D0,o̤ː,long breathy rounded close-mid back vowel,,
ch_u0063u0327u02B0,çʰ,aspirated voiceless palatal sibilant fricative consonant,,
ts_u0074u0283,tʃ,voiceless post-alveolar sibilant affricate consonant,,
ei_u0065u026A,eɪ,from unrounded close-mid front to unrounded near-close near-front diphthong,,
o_u0028u0254u02D0u0029,(ɔː),long rounded open-mid back vowel,,
e_u0258u0303,ɘ̃,nasalized unrounded close-mid central vowel,,
ts_u0074u0283u02BC,tʃʼ,voiceless post-alveolar ejective sibilant affricate consonant,,
zw_u007Au0302u02B7,ẑʷ,labialized voiced post-alveolar sibilant fricative consonant,,
aei_u00E6u0069u032F,æi̯,from unrounded near-open front to non-syllabic unrounded close front diphthong,,
hd_u02B1u0256,ʱɖ,pre-breathy-aspirated voiced retroflex stop consonant,,
jui_u006Au0075u0069,jui,,,
v_u0076,v,voiced labio-dental fricative consonant,,
oa_u0254u0061,ɔa,from rounded open-mid back to unrounded open front diphthong,,
nb_u207Fu0062,ⁿb,pre-nasalized voiced bilabial stop consonant,,
eu_u0065u0075,eu,from unrounded close-mid front to rounded close back diphthong,,
pw_u0070u02BCu02B7,pʼʷ,labialized voiceless bilabial ejective stop consonant,,
ja_u006Au0061,ja,from non-syllabic unrounded close front to unrounded open front diphthong,,
s_u0283u031Eu02BC,ʃ̞ʼ,lowered voiceless post-alveolar ejective sibilant fricative consonant,,
ei_u0065u0303u026Au0303,ẽɪ̃,from nasalized unrounded close-mid front to nasalized unrounded near-close near-front diphthong,,
ts_u0074u0073u02D0u02BC,tsːʼ,long voiceless alveolar ejective sibilant affricate consonant,,
ts_u0074u0283u033A,tʃ̺,voiceless apical post-alveolar sibilant affricate consonant,,
dzh_u0064u007Au02B0,dzʰ,aspirated voiced alveolar sibilant affricate consonant,,
t_u0074u02D0u02D0,tːː,long voiceless alveolar stop consonant,,
e_u0065u0330,ḛ,creaky unrounded close-mid front vowel,,
n_u006E,n,voiced alveolar nasal consonant,,
g_u0262,ɢ,voiced uvular stop consonant,,
rj_u0072u033Au02B2,r̺ʲ,palatalized voiced apical alveolar trill consonant,,
tg_u0074u032Au02E0,t̪ˠ,velarized voiceless dental stop consonant,,
_u0259u0303,ə̃,nasalized unrounded mid central vowel,,
sg_u0073u02E0,sˠ,velarized voiceless alveolar sibilant fricative consonant,,
ia_u026Au032Fu0061,ɪ̯a,from non-syllabic unrounded near-close near-front to unrounded open front diphthong,,
_u0294u02E4,ʔˤ,pharyngealized voiceless glottal stop consonant,,
trh_u0288u027Du02B0,ʈɽʰ,aspirated with-trilled-release voiceless retroflex stop consonant,,
thw_u0074u032Au02B0u02B7,t̪ʰʷ,labialized aspirated voiceless dental stop consonant,,
d_u0064u032A,d̪,voiced dental stop consonant,,
e_u025B,ɛ,unrounded open-mid front vowel,,
hn_u02B1u0272,ʱɲ,pre-breathy-aspirated voiced palatal nasal consonant,,
o_u006Fu031E,o̞,rounded mid back vowel,,
dz_u0064u0325u007Au0325,d̥z̥,devoiced voiced alveolar sibilant affricate consonant,,
_u028Cu0324u02D0,ʌ̤ː,long breathy unrounded open-mid back vowel,,
i_u0069u0303u02D0,ĩː,long nasalized unrounded close front vowel,,
ts_u0074u0283u02BCu02D0,tʃʼː,long voiceless post-alveolar ejective sibilant affricate consonant,,
z_u0292u030A,ʒ̊,devoiced voiced post-alveolar sibilant fricative consonant,,
tswh_u0074u0283u02B7u02B0,tʃʷʰ,labialized aspirated voiceless post-alveolar sibilant affricate consonant,,
ua_u028Au0061,ʊa,from rounded near-close near-back to unrounded open front diphthong,,
nh_u006Eu02B0,nʰ,aspirated voiced alveolar nasal consonant,,
ou_u006Fu028Au0303,oʊ̃,from rounded close-mid back to nasalized rounded near-close near-back diphthong,,
ts_u0074u0283u02E4,tʃˤ,pharyngealized voiceless post-alveolar sibilant affricate consonant,,
o_u0254,ɔ,rounded open-mid back vowel,,
u_u0259u0303u0075u0303,ə̃ũ,from nasalized unrounded mid central to nasalized rounded close back diphthong,,
jj_u025Fu029D,ɟʝ,voiced palatal affricate consonant,,
ts_u0074u0073u033A,ts̺,voiceless apical alveolar sibilant affricate consonant,,
ii_u0069u0069,ii,long unrounded close front vowel,,
e_u0065u02D0,eː,long unrounded close-mid front vowel,,
hts_u02B0u0074u0283u02D0,ʰtʃː,pre-aspirated long voiceless post-alveolar sibilant affricate consonant,,
ai_u0250u0303u0069,ɐ̃i,from nasalized unrounded near-open central to unrounded close front diphthong,,
dz_u0064u0290,dʐ,voiced retroflex sibilant affricate consonant,,
aw_u0251u0077,ɑw,from unrounded open back to non-syllabic rounded close back diphthong,,
o_u0254u031Fu031Cu0330,ɔ̟̜̰,advanced less-rounded creaky rounded open-mid back vowel,,
n_u0273u0325,ɳ̥,devoiced voiced retroflex nasal consonant,,
ii_u0069u026Au032F,iɪ̯,from unrounded close front to non-syllabic unrounded near-close near-front diphthong,,
u_u0259u028A,əʊ,from unrounded mid central to rounded near-close near-back diphthong,,
ntsh_u207Fu0074u0347u0073u0347u02B0,ⁿt͇s͇ʰ,voiceless alveolar affricate consonant,,
c_u0255u02BC,ɕʼ,voiceless alveolo-palatal ejective sibilant fricative consonant,,
ei_u0065u02D0u0069u032F,eːi̯,from long unrounded close-mid front to non-syllabic unrounded close front diphthong,,
au_u0251u0075,ɑu,from unrounded open back to rounded close back diphthong,,
l_u006C,l,voiced alveolar lateral approximant consonant,,
jj_u025Fu0325u029Du0325,ɟ̥ʝ̥,devoiced voiced palatal affricate consonant,,
hp_u02B0u0070u02D0,ʰpː,pre-aspirated long voiceless bilabial stop consonant,,
u_u0075u02D0,uː,long rounded close back vowel,,
u_u0264u031Fu0339,ɤ̟̹,advanced more-rounded unrounded close-mid back vowel,,
d_u0064u02BC,dʼ,voiced alveolar ejective stop consonant,,
dzh_u0064u0292u033Bu02B1,dʒ̻ʱ,breathy voiced laminal post-alveolar sibilant affricate consonant,,
htsj_u02B0u0074u0073u02B2,ʰtsʲ,pre-aspirated palatalized voiceless alveolar sibilant affricate consonant,,
wo_u0077u006F,wo,from non-syllabic rounded close back to rounded close-mid back diphthong,,
l_u026Cu02BC,ɬʼ,voiceless alveolar ejective lateral fricative consonant,,
ae_u00E6,æ,unrounded near-open front vowel,,
dz_u0256u033Bu0290u033B,ɖ̻ʐ̻,voiced laminal retroflex sibilant affricate consonant,,
aw_u0061u0330u026Fu0330,a̰ɯ̰,from creaky unrounded open front to creaky unrounded close back diphthong,,
rj_u027Eu02B2,ɾʲ,palatalized voiced alveolar tap consonant,,
b_u0062u02E4,bˤ,pharyngealized voiced bilabial stop consonant,,
lj_u006Cu0325u02B2,l̥ʲ,palatalized devoiced voiced alveolar lateral approximant consonant,,
oy_u0254u028F,ɔʏ,from rounded open-mid back to rounded near-close near-front diphthong,,
u_u028Au0330,ʊ̰,creaky rounded near-close near-back vowel,,
ie_u0069u032Fu0065,i̯e,from non-syllabic unrounded close front to unrounded close-mid front diphthong,,
khw_u03C7u02B7,χʷ,labialized voiceless uvular fricative consonant,,
q_u0071u033A,q̺,voiceless apical uvular stop consonant,,
wa_u0077u0061u0303,wã,from non-syllabic rounded close back to nasalized unrounded open front diphthong,,
t_u0074u033A,t̺,voiceless apical alveolar stop consonant,,
ye_u0079u025B,yɛ,from rounded close front to unrounded open-mid front diphthong,,
v_u0076u02D0,vː,long voiced labio-dental fricative consonant,,
pj_u0070u02B2,pʲ,palatalized voiceless bilabial stop consonant,,
o_u0254u02D0u0303,ɔː̃,long nasalized rounded open-mid back vowel,,
aa_u0251u0252,ɑɒ,from unrounded open back to rounded open back diphthong,,
ng_u006Eu02E0,nˠ,velarized voiced alveolar nasal consonant,,
v_u0076u02E4,vˤ,pharyngealized voiced labio-dental fricative consonant,,
tl_u0074u026Cu02D0u02BC,tɬːʼ,long voiceless alveolar ejective lateral affricate consonant,,
u_u0075u0324,ṳ,breathy rounded close back vowel,,
th_u0074u0320u02B0,t̠ʰ,aspirated voiceless post-alveolar stop consonant,,
o_u006Fu0303,õ,nasalized rounded close-mid back vowel,,
rh_u027Du02B1,ɽʱ,breathy voiced retroflex tap consonant,,
ij_u0268u006A,ɨj,from unrounded close central to non-syllabic unrounded close front diphthong,,
er_u025Bu02DE,ɛ˞,rhotacized unrounded open-mid front vowel,,
u_u0075u0330u02D0,ṵː,long creaky rounded close back vowel,,
ae_u0251u0065,ɑe,from unrounded open back to unrounded close-mid front diphthong,,
f_u0066u02BC,fʼ,voiceless labio-dental ejective fricative consonant,,
weu_u0077u0065u0075u032F,weu̯,,,
w_u026Fu0324,ɯ̤,breathy unrounded close back vowel,,
ia_u0268u0061,ɨa,from unrounded close central to unrounded open front diphthong,,
e_u0065u0324u02D0,e̤ː,long breathy unrounded close-mid front vowel,,
aw_u0061u0270,aɰ,from unrounded open front to non-syllabic unrounded close back diphthong,,
ew_u0065u0077,ew,from unrounded close-mid front to non-syllabic rounded close back diphthong,,
eu_u025Bu0289,ɛʉ,from unrounded open-mid front to rounded close central diphthong,,
e_u0258u02D0,ɘː,long unrounded close-mid central vowel,,
oa_u006Fu0251,oɑ,from rounded close-mid back to unrounded open back diphthong,,
a_u0061u0303u02D0,ãː,long nasalized unrounded open front vowel,,
tw_u0074u02B7u02BC,tʷʼ,labialized voiceless alveolar ejective stop consonant,,
ue_u0264u0065,ɤe,from unrounded close-mid back to unrounded close-mid front diphthong,,
rh_u0072u02B1,rʱ,breathy voiced alveolar trill consonant,,
k_u006Bu02BCu02D0,kʼː,long voiceless velar ejective stop consonant,,
_u02A2,ʢ,voiced epiglottal fricative consonant,,
qw_u0071u02BCu02D0u02B7,qʼːʷ,labialized long voiceless uvular ejective stop consonant,,
l_u006Cu033B,l̻,voiced laminal alveolar lateral approximant consonant,,
oe_u0153u031Cu02D0,œ̜ː,long less-rounded rounded open-mid front vowel,,
th_u0074u032Au02B0u02E4,t̪ʰˤ,pharyngealized aspirated voiceless dental stop consonant,,
ntch_u207Fu0074u0255u02B0,ⁿtɕʰ,pre-nasalized aspirated voiceless alveolo-palatal sibilant affricate consonant,,
u_u0075u0259,uə,from rounded close back to unrounded mid central diphthong,,
hj_u0068u02B2,hʲ,palatalized voiceless glottal fricative consonant,,
j_u02C0u006A,ˀj,pre-glottalized voiced palatal approximant consonant,,
s_u0282u02D0,ʂː,long voiceless retroflex sibilant fricative consonant,,
l_u006Cu0325,l̥,devoiced voiced alveolar lateral approximant consonant,,
ng_u014Bu030A,ŋ̊,devoiced voiced velar nasal consonant,,
oa_u006Fu0303u0061u0303,õã,from nasalized rounded close-mid back to nasalized unrounded open front diphthong,,
u_u028Au031C,ʊ̜,less-rounded rounded near-close near-back vowel,,
ndz_u207Fu0064u007A,ⁿdz,pre-nasalized voiced alveolar sibilant affricate consonant,,
jua_u006Au0075u0061u02D0,juaː,,,
iw_u0069u0077,iw,from unrounded close front to non-syllabic rounded close back diphthong,,
qw_u0071u02BCu02B7,qʼʷ,labialized voiceless uvular ejective stop consonant,,
wo_u026Fu006F,ɯo,from unrounded close back to rounded close-mid back diphthong,,
w_u026Fu0303,ɯ̃,nasalized unrounded close back vowel,,
nqh_u207Fu0071u02B0,ⁿqʰ,pre-nasalized aspirated voiceless uvular stop consonant,,
ngh_u014Bu02B0,ŋʰ,aspirated voiced velar nasal consonant,,
zh_u0291u02B0,ʑʰ,aspirated voiced alveolo-palatal sibilant fricative consonant,,
iei_u0069u025Bu0069u032F,iɛi̯,,,
w_u026Fu033Du02D0,ɯ̽ː,long unrounded near-close near-back vowel,,
sj_u0073u02B2u02D0u02D0,sʲːː,palatalized long voiceless alveolar sibilant fricative consonant,,
twh_u0074u02B7u02B0,tʷʰ,labialized aspirated voiceless alveolar stop consonant,,
w_u026Fu031F,ɯ̟,advanced unrounded close back vowel,,
wz_u02B7u0290,ʷʐ,pre-labialized voiced retroflex sibilant fricative consonant,,
qw_u0071u02B7,qʷ,labialized voiceless uvular stop consonant,,
au_u0250u0303u0075,ɐ̃u,from nasalized unrounded near-open central to rounded close back diphthong,,
rj_u0072u0325u02B2,r̥ʲ,palatalized devoiced voiced alveolar trill consonant,,
i_u026Au032F,ɪ̯,non-syllabic unrounded near-close near-front vowel,,
a_u0061u02D0,aː,long unrounded open front vowel,,
a_u0061u0324u0303,ã̤,nasalized breathy unrounded open front vowel,,
ui_u028Au0308u0069,ʊ̈i,from rounded near-close central to unrounded close front diphthong,,
n_u02BCu0272,ʼɲ,pre-glottalized voiced palatal nasal consonant,,
dz_u0064u033Au007Au033A,d̺z̺,voiced apical alveolar sibilant affricate consonant,,
a_u0250u0303,ɐ̃,nasalized unrounded near-open central vowel,,
u_u0264u031E,ɤ̞,unrounded mid back vowel,,
g_u0263,ɣ,voiced velar fricative consonant,,
y_u0265,ɥ,voiced labio-palatal approximant consonant,,
qkhh_u0071u03C7u02B0,qχʰ,aspirated voiceless uvular affricate consonant,,
e_u025Bu0330u02D0,ɛ̰ː,long creaky unrounded open-mid front vowel,,
ndz_u207Fu0064u032Au007Au032A,ⁿd̪z̪,pre-nasalized voiced dental sibilant affricate consonant,,
w_u026Fu031D,ɯ̝,raised unrounded close back vowel,,
e_u025Bu0324u02D0,ɛ̤ː,long breathy unrounded open-mid front vowel,,
g_u02BCu0263,ʼɣ,pre-glottalized voiced velar fricative consonant,,
au_u0061u02D0u0075,aːu,from long unrounded open front to rounded close back diphthong,,
o_u0275u031Eu0330,ɵ̞̰,creaky rounded mid central vowel,,
ts_u0074u032Au033Bu0073u032Au033B,t̪̻s̪̻,voiceless laminal dental sibilant affricate consonant,,
nph_u207Fu0070u02B0,ⁿpʰ,pre-nasalized aspirated voiceless bilabial stop consonant,,
w_u0077u0325,w̥,devoiced voiced labio-velar approximant consonant,,
jo_u006Au006F,jo,from non-syllabic unrounded close front to rounded close-mid back diphthong,,
d_u0064u0325,d̥,devoiced voiced alveolar stop consonant,,
aeu_u00E6u0075u032F,æu̯,from unrounded near-open front to non-syllabic rounded close back diphthong,,
nts_u207Fu0288u0282,ⁿʈʂ,pre-nasalized voiceless retroflex sibilant affricate consonant,,
e_u0065u02D0u02D0,eːː,ultra-long unrounded close-mid front vowel,,
r_u027A,ɺ,voiced alveolar lateral tap consonant,,
oy_u00F8u0079u032F,øy̯,from rounded close-mid front to non-syllabic rounded close front diphthong,,
uo_u0075u0303u006Fu02D0,ũoː,from nasalized rounded close back to long rounded close-mid back diphthong,,
wr_u02B7u0072,ʷr,pre-labialized voiced alveolar trill consonant,,
nch_u207Fu0063u02B0,ⁿcʰ,pre-nasalized aspirated voiceless palatal stop consonant,,
e_u0258u031F,ɘ̟,advanced unrounded close-mid central vowel,,
a_u0251u0330u02D0,ɑ̰ː,long creaky unrounded open back vowel,,
tshw_u0074u0283u02B0u02B7,tʃʰʷ,labialized aspirated voiceless post-alveolar sibilant affricate consonant,,
tsh_u0074u0073u0302u02B0,tŝʰ,aspirated voiceless post-alveolar sibilant affricate consonant,,
t_u0020u0074, t,voiceless alveolar stop consonant,,
aw_u0061u0303u0077,ãw,from nasalized unrounded open front to non-syllabic rounded close back diphthong,,
je_u006Au025B,jɛ,from non-syllabic unrounded close front to unrounded open-mid front diphthong,,
o_u0254u0303u02D0,ɔ̃ː,long nasalized rounded open-mid back vowel,,
s_u0073u02D0u02D0,sːː,long voiceless alveolar sibilant fricative consonant,,
ej_u0065u006A,ej,from unrounded close-mid front to non-syllabic unrounded close front diphthong,,
u_u0259u0075u0303,əũ,from unrounded mid central to nasalized rounded close back diphthong,,
y_u028F,ʏ,rounded near-close near-front vowel,,
ia_u0069u032Fu0061,i̯a,from non-syllabic unrounded close front to unrounded open front diphthong,,
d_u00F0u033Au032A,ð̺̪,voiced alveolar fricative consonant,,
tlw_u0074u026Cu02BCu02B7,tɬʼʷ,labialized voiceless alveolar ejective lateral affricate consonant,,
dh_u0064u02B0,dʰ,aspirated voiced alveolar stop consonant,,
k_u006B,k,voiceless velar stop consonant,,
sj_u0073u02B2,sʲ,palatalized voiceless alveolar sibilant fricative consonant,,
_u0294u02D0,ʔː,long voiceless glottal stop consonant,,
g_u0261,ɡ,voiced velar stop consonant,,
ea_u025Bu0061,ɛa,from unrounded open-mid front to unrounded open front diphthong,,
dzj_u0064u0325u007Au0325u02B2,d̥z̥ʲ,palatalized devoiced voiced alveolar sibilant affricate consonant,,
dzw_u0064u033Au0292u033Au02B7,d̺ʒ̺ʷ,labialized voiced apical post-alveolar sibilant affricate consonant,,
eo_u0065u006F,eo,from unrounded close-mid front to rounded close-mid back diphthong,,
i_u0069u0330u02D0,ḭː,long creaky unrounded close front vowel,,
o_u0254u02E4u02D0,ɔˤː,long pharyngealized rounded open-mid back vowel,,
dj_u0064u0325u02B2,d̥ʲ,palatalized devoiced voiced alveolar stop consonant,,
vj_u028Bu02B2,ʋʲ,palatalized voiced labio-dental approximant consonant,,
oa_u006Fu031Eu0061,o̞a,from rounded mid back to unrounded open front diphthong,,
tlh_u0074u026Cu02B0,tɬʰ,aspirated voiceless alveolar lateral affricate consonant,,
i_u026Au0306,ɪ̆,ultra-short unrounded near-close near-front vowel,,
jei_u006Au0065u0069u032F,jei̯,,,
a_u0061u031F,a̟,advanced unrounded open front vowel,,
oi_u006Fu0069u032F,oi̯,from rounded close-mid back to non-syllabic unrounded close front diphthong,,
g_u0260,ɠ,voiced velar implosive consonant,,
z_u0292u02E4,ʒˤ,pharyngealized voiced post-alveolar sibilant fricative consonant,,
v_u0076u0325,v̥,devoiced voiced labio-dental fricative consonant,,
rj_u027Bu02B2,ɻʲ,palatalized voiced retroflex approximant consonant,,
jo_u006Au006Fu02D0,joː,from non-syllabic unrounded close front to long rounded close-mid back diphthong,,
r_u0281u02E4,ʁˤ,pharyngealized voiced uvular fricative consonant,,
s_u0073u033A,s̺,voiceless apical alveolar sibilant fricative consonant,,
ui_u028Au0069,ʊi,from rounded near-close near-back to unrounded close front diphthong,,
dj_u0028u0064u02B2u0029,(dʲ),palatalized voiced alveolar stop consonant,,
d_u00F0u02BC,ðʼ,voiced dental ejective fricative consonant,,
ndz_u207Fu0064u0347u007Au0347,ⁿd͇z͇,pre-nasalized voiced alveolar affricate consonant,,
i_u026Au02D0,ɪː,long unrounded near-close near-front vowel,,
ue_u0289u025Eu0320,ʉɞ̠,from rounded close central to retracted rounded open-mid central diphthong,,
t_u0074u02D0,tː,long voiceless alveolar stop consonant,,
hw_u0127u02B7,ħʷ,labialized voiceless pharyngeal fricative consonant,,
a_u0250u031F,ɐ̟,advanced unrounded near-open central vowel,,
e_u025Bu0320u02D0,ɛ̠ː,long retracted unrounded open-mid front vowel,,
g_u0263u030A,ɣ̊,devoiced voiced velar fricative consonant,,
y_u0079u0259,yə,from rounded close front to unrounded mid central diphthong,,
n_u02C0u006E,ˀn,pre-glottalized voiced alveolar nasal consonant,,
i_u0268u0339,ɨ̹,more-rounded unrounded close central vowel,,
tsw_u0074u0073u02B7,tsʷ,labialized voiceless alveolar sibilant affricate consonant,,
r_u0072u033A,r̺,voiced apical alveolar trill consonant,,
wh_u0077u02B0,wʰ,aspirated voiced labio-velar approximant consonant,,
oe_u0028u0153u02D0u0029,(œː),long rounded open-mid front vowel,,
ui_u028Au026A,ʊɪ,from rounded near-close near-back to unrounded near-close near-front diphthong,,
iae_u0069u02E4u00E6,iˤæ,from pharyngealized unrounded close front to unrounded near-open front diphthong,,
ts_u0074u0283u02BCu02E4,tʃʼˤ,pharyngealized voiceless post-alveolar ejective sibilant affricate consonant,,
x_u0078u0320,x̠,retracted voiceless velar fricative consonant,,
e_u025Eu0330,ɞ̰,creaky rounded open-mid central vowel,,
khwj_u006Bu02B0u02B7u02B2,kʰʷʲ,palatalized labialized aspirated voiceless velar stop consonant,,
cch_u0063u0063u0327u02B0,cçʰ,aspirated voiceless palatal affricate consonant,,
b_u0062u0325u02D0,b̥ː,long devoiced voiced bilabial stop consonant,,
ai_u0061u0069u032Fu02D0,ai̯ː,from unrounded open front to long non-syllabic unrounded close front diphthong,,
ou_u006Fu0075u032F,ou̯,from rounded close-mid back to non-syllabic rounded close back diphthong,,
np_u207Fu0070,ⁿp,pre-nasalized voiceless bilabial stop consonant,,
qhwj_u0071u02B0u02B7u02B2,qʰʷʲ,palatalized labialized aspirated voiceless uvular stop consonant,,
_u0294,ʔ,voiceless glottal stop consonant,,
u_u0289u031Fu02D0,ʉ̟ː,long advanced rounded close central vowel,,
i_u0069u032Fu0303,ĩ̯,non-syllabic nasalized unrounded close front vowel,,
mj_u006Du0325u02B2,m̥ʲ,palatalized devoiced voiced bilabial nasal consonant,,
